Time,U,Y,X1,X2
0.0,4.52,4.52,-1658.37,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.0,-142.1
0.003,151.86,0.0,0.0,-284.28
0.004,227.36,0.02,0.02,-426.46
0.005,301.96,0.2,0.2,-567.95
0.006,369.02,0.46,0.46,-703.32
0.007,429.97,0.65,0.65,-830.59
0.008,489.07,0.93,0.93,-951.71
0.009,541.56,1.21,1.21,-1064.07
0.01,588.98,1.49,1.49,-1167.43
0.011,631.81,1.77,1.77,-1261.96
0.012,669.77,2.0,2.0,-1347.52
0.013,705.36,2.26,2.26,-1425.92
0.014,735.91,2.48,2.48,-1496.17
0.015,763.82,2.72,2.72,-1559.57
0.016,787.03,2.93,2.93,-1615.28
0.017,807.79,3.12,3.12,-1664.57
0.018,825.77,3.29,3.29,-1707.86
0.019,841.35,3.45,3.45,-1745.75
0.02,854.53,3.62,3.62,-1778.56
0.021,864.69,3.79,3.79,-1806.04
0.022,872.05,3.9,3.9,-1828.21
0.023,879.21,4.03,4.03,-1847.08
0.024,883.32,4.13,4.13,-1861.58
0.025,886.99,4.26,4.26,-1873.18
0.026,887.53,4.33,4.33,-1880.61
0.027,888.21,4.43,4.43,-1885.71
0.028,886.82,4.49,4.49,-1887.79
0.029,885.39,4.57,4.57,-1888.05
0.03,882.03,4.58,4.58,-1885.72
0.031,880.57,4.64,4.64,-1883.32
0.032,876.66,4.68,4.68,-1878.92
0.033,872.36,4.74,4.74,-1873.1
0.034,866.68,4.72,4.72,-1865.36
0.035,863.41,4.79,4.79,-1858.34
0.036,856.55,4.79,4.79,-1848.91
0.037,851.78,4.79,4.79,-1839.74
0.038,846.75,4.81,4.81,-1830.45
0.039,841.19,4.83,4.83,-1820.69
0.04,835.09,4.83,4.83,-1810.24
0.041,829.72,4.81,4.81,-1799.96
0.042,824.88,4.81,4.81,-1790.15
0.043,819.81,4.77,4.77,-1780.42
0.044,816.51,4.79,4.79,-1772.11
0.045,810.81,4.76,4.76,-1762.76
0.046,807.28,4.78,4.78,-1754.54
0.047,802.25,4.75,4.75,-1745.79
0.048,798.86,4.76,4.76,-1738.0
0.049,794.39,4.71,4.71,-1729.93
0.05,791.97,4.67,4.67,-1723.28
0.051,790.11,4.71,4.71,-1717.86
0.052,785.48,4.71,4.71,-1711.05
0.053,782.06,4.68,4.68,-1704.45
0.054,779.79,4.65,4.65,-1698.78
0.055,778.0,4.66,4.66,-1694.0
0.056,774.96,4.65,4.65,-1688.81
0.057,772.84,4.64,4.64,-1684.11
0.058,770.8,4.63,4.63,-1679.74
0.059,768.93,4.61,4.61,-1675.7
0.06,767.4,4.62,4.62,-1672.12
0.061,765.01,4.58,4.58,-1668.15
0.062,764.93,4.57,4.57,-1665.74
0.063,764.07,4.58,4.58,-1663.59
0.064,762.61,4.54,4.54,-1661.18
0.065,762.73,4.52,4.52,-1659.85
0.066,763.08,4.54,4.54,-1659.29
0.067,761.67,4.51,4.51,-1657.84
0.068,762.48,4.51,4.51,-1657.63
0.069,762.17,4.51,4.51,-1657.23
0.07,761.96,4.53,4.53,-1656.83
0.071,761.13,4.51,4.51,-1655.97
0.072,761.46,4.52,4.52,-1655.72
0.073,760.85,4.51,4.51,-1655.08
0.074,760.98,4.52,4.52,-1654.82
0.075,760.37,4.51,4.51,-1654.18
0.076,760.51,4.49,4.49,-1653.92
0.077,760.98,4.48,4.48,-1654.11
0.078,761.84,4.49,4.49,-1654.86
0.079,761.44,4.49,4.49,-1654.98
0.08,761.53,4.51,4.51,-1655.14
0.081,760.99,4.51,4.51,-1654.83
0.082,760.69,4.5,4.5,-1654.43
0.083,760.94,4.48,4.48,-1654.39
0.084,761.84,4.51,4.51,-1655.04
0.085,760.76,4.49,4.49,-1654.58
0.086,761.33,4.48,4.48,-1654.77
0.087,762.19,4.51,4.51,-1655.52
0.088,761.17,4.48,4.48,-1655.18
0.089,762.42,4.49,4.49,-1655.96
0.09,762.33,4.49,4.49,-1656.32
0.091,762.23,4.5,4.5,-1656.46
0.092,762.0,4.48,4.48,-1656.39
0.093,763.05,4.48,4.48,-1657.15
0.094,763.43,4.48,4.48,-1657.87
0.095,763.81,4.48,4.48,-1658.58
0.096,764.19,4.5,4.5,-1659.29
0.097,763.49,4.49,4.49,-1659.18
0.098,764.07,4.48,4.48,-1659.59
0.099,764.74,4.47,4.47,-1660.33
0.1,765.59,4.51,4.51,-1661.4
0.101,764.13,4.53,4.53,-1660.91
0.102,763.14,4.51,4.51,-1659.93
0.103,763.41,4.52,4.52,-1659.57
0.104,762.89,4.49,4.49,-1658.94
0.105,763.65,4.51,4.51,-1659.15
0.106,762.96,4.48,4.48,-1658.72
0.107,764.3,4.5,4.5,-1659.5
0.108,763.6,4.49,4.49,-1659.39
0.109,764.18,4.51,4.51,-1659.8
0.11,763.3,4.48,4.48,-1659.36
0.111,764.64,4.53,4.53,-1660.14
0.112,762.7,4.53,4.53,-1659.09
0.113,762.19,4.51,4.51,-1658.14
0.114,762.62,4.51,4.51,-1657.9
0.115,762.47,4.49,4.49,-1657.62
0.116,763.25,4.5,4.5,-1658.04
0.117,762.83,4.47,4.47,-1657.95
0.118,764.35,4.49,4.49,-1659.07
0.119,763.66,4.53,4.53,-1659.17
0.12,762.2,4.49,4.49,-1658.15
0.121,763.25,4.48,4.48,-1658.38
0.122,764.11,4.52,4.52,-1659.13
0.123,762.62,4.49,4.49,-1658.43
0.124,763.38,4.48,4.48,-1658.64
0.125,764.24,4.52,4.52,-1659.39
0.126,762.76,4.48,4.48,-1658.69
0.127,764.3,4.47,4.47,-1659.49
0.128,765.14,4.51,4.51,-1660.56
0.129,763.84,4.47,4.47,-1660.19
0.13,765.39,4.52,4.52,-1661.2
0.131,763.72,4.49,4.49,-1660.49
0.132,764.48,4.48,4.48,-1660.7
0.133,765.34,4.52,4.52,-1661.45
0.134,763.7,4.51,4.51,-1660.63
0.135,763.93,4.51,4.51,-1660.38
0.136,763.78,4.49,4.49,-1660.09
0.137,764.25,4.51,4.51,-1660.28
0.138,763.56,4.49,4.49,-1659.85
0.139,764.13,4.48,4.48,-1660.05
0.14,764.99,4.5,4.5,-1660.8
0.141,764.28,4.52,4.52,-1660.69
0.142,763.48,4.37,4.37,-1660.03
0.143,769.97,4.5,4.5,-1664.6
0.144,766.18,4.49,4.49,-1664.27
0.145,766.77,4.48,4.48,-1664.68
0.146,767.44,4.51,4.51,-1665.41
0.147,766.27,4.49,4.49,-1664.95
0.148,767.15,4.51,4.51,-1665.38
0.149,766.26,4.52,4.52,-1664.94
0.15,765.74,4.49,4.49,-1664.31
0.151,766.81,4.52,4.52,-1664.75
0.152,765.62,4.53,4.53,-1664.07
0.153,764.83,4.53,4.53,-1663.1
0.154,764.48,4.53,4.53,-1662.27
0.155,764.03,4.49,4.49,-1661.43
0.156,764.98,4.51,4.51,-1661.66
0.157,764.45,4.51,4.51,-1661.35
0.158,764.14,4.52,4.52,-1660.94
0.159,763.62,4.53,4.53,-1660.31
0.16,762.83,4.49,4.49,-1659.34
0.161,764.19,4.56,4.56,-1659.81
0.162,761.29,4.51,4.51,-1657.83
0.163,762.33,4.51,4.51,-1657.53
0.164,762.28,4.5,4.5,-1657.25
0.165,762.44,4.49,4.49,-1657.21
0.166,763.02,4.49,4.49,-1657.62
0.167,763.23,4.52,4.52,-1658.0
0.168,762.03,4.48,4.48,-1657.32
0.169,763.57,4.51,4.51,-1658.12
0.17,762.4,4.52,4.52,-1657.65
0.171,761.88,4.52,4.52,-1657.02
0.172,761.55,4.51,4.51,-1656.41
0.173,761.53,4.48,4.48,-1656.03
0.174,762.72,4.48,4.48,-1656.69
0.175,763.19,4.51,4.51,-1657.41
0.176,762.02,4.48,4.48,-1656.95
0.177,763.21,4.51,4.51,-1657.62
0.178,762.29,4.51,4.51,-1657.28
0.179,762.14,4.5,4.5,-1656.99
0.18,762.3,4.49,4.49,-1656.95
0.181,762.89,4.48,4.48,-1657.36
0.182,763.55,3.77,3.77,-1658.09
0.183,795.02,4.49,4.49,-1682.45
0.184,775.65,4.53,4.53,-1681.4
0.185,774.0,4.49,4.49,-1680.37
0.186,775.04,4.49,4.49,-1680.6
0.187,775.44,4.51,4.51,-1681.0
0.188,774.56,4.5,4.5,-1680.55
0.189,774.81,4.54,4.54,-1680.51
0.19,772.92,4.52,4.52,-1679.04
0.191,773.11,4.54,4.54,-1678.35
0.192,772.1,4.53,4.53,-1677.15
0.193,771.95,4.53,4.53,-1676.33
0.194,771.35,4.53,4.53,-1675.38
0.195,770.84,4.52,4.52,-1674.43
0.196,770.8,4.53,4.53,-1673.83
0.197,770.01,4.51,4.51,-1672.86
0.198,770.28,4.53,4.53,-1672.5
0.199,769.45,4.53,4.53,-1671.64
0.2,768.85,4.56,4.56,-1670.68
0.201,767.11,4.51,4.51,-1668.79
0.202,768.3,4.52,4.52,-1668.6
0.203,767.69,4.54,4.54,-1667.97
0.204,766.59,4.51,4.51,-1666.76
0.205,767.05,4.56,4.56,-1666.41
0.206,764.82,4.51,4.51,-1664.49
0.207,765.86,4.52,4.52,-1664.18
0.208,765.34,4.49,4.49,-1663.55
0.209,766.41,4.53,4.53,-1664.0
0.21,764.91,4.53,4.53,-1663.08
0.211,764.31,4.53,4.53,-1662.13
0.212,763.96,4.5,4.5,-1661.3
0.213,764.6,4.54,4.54,-1661.28
0.214,762.86,4.51,4.51,-1659.92
0.215,763.58,5.74,5.74,-1659.7
0.216,709.25,4.51,4.51,-1618.22
0.217,742.71,4.5,4.5,-1620.38
0.218,742.86,4.48,4.48,-1620.34
0.219,743.91,4.45,4.45,-1621.1
0.22,745.53,4.47,4.47,-1622.76
0.221,745.61,4.49,4.49,-1623.77
0.222,745.23,4.45,4.45,-1624.11
0.223,747.14,4.43,4.43,-1625.79
0.224,748.76,4.43,4.43,-1627.98
0.225,750.06,4.46,4.46,-1630.26
0.226,749.72,4.46,4.46,-1631.34
0.227,750.33,4.46,4.46,-1632.5
0.228,750.95,4.48,4.48,-1633.66
0.229,750.94,4.46,4.46,-1634.35
0.23,751.94,4.43,4.43,-1635.53
0.231,754.11,4.46,4.46,-1637.87
0.232,753.76,4.46,4.46,-1638.96
0.233,754.38,4.43,4.43,-1640.12
0.234,756.39,4.46,4.46,-1642.34
0.235,756.14,4.45,4.45,-1643.43
0.236,757.37,4.45,4.45,-1645.06
0.237,758.22,4.44,4.44,-1646.66
0.238,759.69,4.48,4.48,-1648.74
0.239,758.92,4.45,4.45,-1649.37
0.24,760.38,4.48,4.48,-1650.91
