Time,U,Y,X1,X2
0.0,4.52,4.52,-1658.51,0.0
0.001,0.0,0.0,0.0,0.0
0.002,76.36,0.0,0.0,-142.07
0.003,151.84,0.0,0.0,-284.24
0.004,227.34,0.07,0.07,-426.43
0.005,299.82,0.21,0.21,-566.34
0.006,367.86,0.39,0.39,-701.55
0.007,431.98,0.64,0.64,-831.11
0.008,489.78,0.9,0.9,-952.48
0.009,543.3,1.16,1.16,-1065.84
0.01,592.05,1.42,1.42,-1170.78
0.011,636.82,1.71,1.71,-1267.73
0.012,675.67,1.94,1.94,-1355.33
0.013,712.17,2.19,2.19,-1435.69
0.014,744.05,2.44,2.44,-1508.1
0.015,771.98,2.65,2.65,-1572.8
0.016,797.3,2.88,2.88,-1630.94
0.017,818.06,3.07,3.07,-1681.61
0.018,836.79,3.22,3.22,-1726.34
0.019,854.06,3.43,3.43,-1766.4
0.02,866.2,3.58,3.58,-1799.64
0.021,877.57,3.76,3.76,-1828.4
0.022,884.96,3.89,3.89,-1851.3
0.023,891.91,4.02,4.01,-1870.47
0.024,896.5,4.13,4.13,-1885.53
0.025,899.54,4.22,4.22,-1896.97
0.026,901.87,4.3,4.3,-1905.7
0.027,903.04,4.4,4.4,-1911.91
0.028,902.09,4.48,4.48,-1914.98
0.029,900.26,4.54,4.54,-1915.53
0.03,897.69,4.71,4.71,-1914.05
0.031,889.68,4.67,4.68,-1907.02
0.032,887.67,4.68,4.68,-1901.6
0.033,884.45,4.74,4.74,-1895.89
0.034,878.78,4.76,4.76,-1888.13
0.035,873.95,4.81,4.81,-1879.94
0.036,867.28,4.81,4.81,-1869.97
0.037,862.04,4.83,4.83,-1860.14
0.038,856.04,4.84,4.84,-1849.7
0.039,850.2,4.83,4.83,-1839.05
0.04,844.87,4.84,4.84,-1828.67
0.041,838.89,4.85,4.85,-1817.92
0.042,832.87,4.83,4.83,-1806.93
0.043,827.83,4.83,4.83,-1796.57
0.044,822.31,4.82,4.82,-1786.17
0.045,817.25,4.83,4.83,-1776.13
0.046,811.44,4.81,4.81,-1765.7
0.047,806.69,4.79,4.79,-1755.89
0.048,802.4,4.78,4.78,-1746.76
0.049,797.84,4.76,4.76,-1737.82
0.05,794.02,4.76,4.76,-1729.58
0.051,789.78,4.74,4.74,-1721.41
0.052,786.36,4.72,4.72,-1713.95
0.053,783.16,4.71,4.71,-1707.04
0.054,779.78,4.7,4.7,-1700.32
0.055,776.68,4.69,4.69,-1693.95
0.056,773.75,4.66,4.66,-1687.91
0.057,771.77,4.65,4.65,-1682.8
0.058,769.49,4.64,4.64,-1677.98
0.059,767.55,4.62,4.62,-1673.62
0.06,766.14,3.71,3.72,-1669.53
0.061,803.85,4.62,4.62,-1696.94
0.062,777.26,4.58,4.58,-1690.81
0.063,776.96,4.62,4.62,-1688.42
0.064,773.63,4.61,4.61,-1684.36
0.065,771.99,4.56,4.56,-1680.75
0.066,772.39,4.57,4.57,-1678.93
0.067,770.9,4.56,4.56,-1676.62
0.068,770.31,4.57,4.57,-1674.82
0.069,768.87,4.54,4.54,-1672.62
0.07,768.8,4.56,4.56,-1671.29
0.071,767.29,4.54,4.54,-1669.29
0.072,767.02,4.57,4.57,-1667.95
0.073,765.21,4.54,4.54,-1665.71
0.074,765.44,4.53,4.53,-1664.61
0.075,765.29,4.53,4.53,-1663.8
0.076,764.69,4.53,4.53,-1662.84
0.077,764.34,4.53,4.53,-1662.01
0.078,763.89,4.52,4.52,-1661.17
0.079,763.76,4.52,4.52,-1660.57
0.08,763.43,4.53,4.53,-1659.96
0.081,762.64,4.54,4.54,-1658.99
0.082,761.83,4.52,4.52,-1657.79
0.083,761.97,4.51,4.51,-1657.21
0.084,762.11,4.51,4.51,-1656.95
0.085,761.97,4.5,4.5,-1656.67
0.086,762.12,4.51,4.51,-1656.63
0.087,761.78,4.51,4.51,-1656.33
0.088,761.63,4.51,4.51,-1656.04
0.089,761.48,4.5,4.5,-1655.75
0.09,761.64,4.5,4.5,-1655.71
0.091,761.61,4.5,4.5,-1655.65
0.092,761.58,4.51,4.51,-1655.59
0.093,761.08,4.5,4.5,-1655.17
0.094,761.33,4.49,4.5,-1655.13
0.095,761.61,4.5,4.5,-1655.31
0.096,761.39,4.51,4.51,-1655.23
0.097,760.89,4.49,4.49,-1654.8
0.098,761.76,4.48,4.48,-1655.24
0.099,762.27,4.48,4.48,-1655.86
0.1,762.75,4.49,4.49,-1656.59
0.101,762.67,4.49,4.5,-1656.95
0.102,762.56,4.49,4.49,-1657.09
0.103,762.95,4.5,4.5,-1657.49
0.104,762.54,4.49,4.49,-1657.39
0.105,763.12,4.49,4.5,-1657.81
0.106,763.02,4.49,4.49,-1657.95
0.107,763.41,4.49,4.49,-1658.35
0.108,763.62,4.48,4.48,-1658.73
0.109,764.13,4.48,4.48,-1659.35
0.11,764.6,4.49,4.5,-1660.08
0.111,764.21,4.51,4.51,-1660.21
0.112,763.52,4.51,4.51,-1659.77
0.113,763.46,4.45,4.45,-1659.46
0.114,765.93,4.51,4.51,-1661.24
0.115,764.18,4.51,4.51,-1660.81
0.116,764.01,4.5,4.5,-1660.52
0.117,764.17,4.49,4.5,-1660.48
0.118,764.45,4.49,4.49,-1660.65
0.119,764.84,4.52,4.52,-1661.06
0.12,763.66,4.51,4.51,-1660.37
0.121,763.64,4.5,4.5,-1659.98
0.122,763.89,4.52,4.52,-1659.96
0.123,763.09,4.51,4.51,-1659.3
0.124,763.07,4.52,4.52,-1658.92
0.125,762.55,4.5,4.5,-1658.28
0.126,762.99,4.51,4.51,-1658.26
0.127,762.5,4.52,4.52,-1657.85
0.128,761.98,4.5,4.5,-1657.21
0.129,762.42,4.49,4.5,-1657.18
0.13,762.7,4.48,4.48,-1657.35
0.131,763.56,4.5,4.5,-1658.12
0.132,762.86,4.49,4.49,-1658.0
